FinancialyearID,GroupingName,RegionName,DistrictName,MuncipalityName,GMName,Date,TotalAssesments,TotalDemand,TotalCollection,TotalBal,%Collection
2020-2021,Corporation,HOSUR ,KRISHNAGIRI,HOSUR ,VLTTax,2021-04-01T04:04:54.967,10710.0,87671537.0,23581362.0,64090175.0,26.9
2020-2021,Corporation,HOSUR ,KRISHNAGIRI,HOSUR ,WaterSupply,2021-04-01T04:05:05.38,36109.0,28554852.0,17450140.0,11104712.0,61.11
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,NonTax,2021-04-01T04:05:13.13,552.0,135509968.0,15309749.0,120200219.0,11.3
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,ProfessionTax,2021-04-01T04:05:16.76,4493.0,38428620.5,19554871.0,18873749.5,50.89
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,PropertyTax,2021-04-01T04:04:53.097,50831.0,160207971.0,77638451.0,82569520.0,48.46
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,SUC Charges,2021-04-01T04:05:47.913,49669.0,32252913.0,16602140.0,15650773.0,51.47
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,UGD,2021-04-01T11:21:12.87,20790.0,73782385.67,16162192.0,57620193.67,21.91
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,VLTTax,2021-04-01T04:04:54.967,5687.0,30017085.0,12695849.0,17321236.0,42.3
2020-2021,Corporation,KANCHEEPURAM ,KANCHEEPURAM,KANCHEEPURAM ,WaterSupply,2021-04-01T04:05:05.38,32558.0,81751515.0,15954207.0,65797308.0,19.52
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,NonTax,2021-04-01T04:05:14.22,295.0,103337129.0,16931054.0,86406075.0,16.38
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,ProfessionTax,2021-04-01T04:05:16.76,4570.0,18377063.0,5430928.0,12946135.0,29.55
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,PropertyTax,2021-04-01T04:04:53.097,35321.0,148054764.0,92086549.0,55968215.0,62.2
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,SUC Charges,2021-04-01T04:05:42.227,34875.0,17982201.0,12033289.0,5948912.0,66.92
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,VLTTax,2021-04-01T04:04:54.967,3732.0,15721271.0,3837889.0,11883382.0,24.41
2020-2021,Corporation,KARAIKUDI ,SIVAGANGAI,KARAIKUDI ,WaterSupply,2021-04-01T04:05:05.38,14877.0,46717121.0,19116275.0,27600846.0,40.92
2020-2021,Corporation,KARUR ,KARUR,KARUR ,NonTax,2021-04-01T04:05:14.22,478.0,125319308.0,21070254.0,104249054.0,16.81
2020-2021,Corporation,KARUR ,KARUR,KARUR ,ProfessionTax,2021-04-01T04:05:16.76,3623.0,33835160.0,13984676.0,19850484.0,41.33
2020-2021,Corporation,KARUR ,KARUR,KARUR ,PropertyTax,2021-04-01T04:04:53.097,73697.0,193403787.0,102136503.0,91267284.0,52.81
2020-2021,Corporation,KARUR ,KARUR,KARUR ,SUC Charges,2021-04-01T04:05:47.913,72589.0,69497691.0,43526058.0,25971633.0,62.63
2020-2021,Corporation,KARUR ,KARUR,KARUR ,UGD,2021-04-01T11:21:12.87,12376.0,59393894.0,8590206.0,50803688.0,14.46
2020-2021,Corporation,KARUR ,KARUR,KARUR ,VLTTax,2021-04-01T04:04:54.967,3944.0,16037020.0,6353480.0,9683540.0,39.62
2020-2021,Corporation,KARUR ,KARUR,KARUR ,WaterSupply,2021-04-01T04:05:10.96,50755.0,92426718.0,28425792.0,64000926.0,30.75
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,NonTax,2021-04-01T04:05:13.13,277.0,141282112.0,22652586.0,118629526.0,16.03
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,ProfessionTax,2021-04-01T04:05:16.76,4579.0,34841998.0,12654843.0,22187155.0,36.32
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,PropertyTax,2021-04-01T04:04:53.097,34043.0,301907987.0,102020324.0,199887663.0,33.79
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,SUC Charges,2021-04-01T04:05:42.227,33560.0,15828631.0,8057704.0,7770927.0,50.91
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,UGD,2021-04-01T11:21:12.87,19769.0,84657666.0,10805025.0,73852641.0,12.76
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,VLTTax,2021-04-01T04:04:56.733,2416.0,7566489.0,1412510.0,6153979.0,18.67
2020-2021,Corporation,KUMBAKONAM ,THANJAVUR,KUMBAKONAM ,WaterSupply,2021-04-01T04:05:05.38,13427.0,15160939.0,5548938.0,9612001.0,36.6
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,NonTax,2021-04-01T04:05:13.13,6313.0,1022405845.0,131149610.0,891256235.0,12.83
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,ProfessionTax,2021-04-01T04:05:16.76,42706.0,343629231.0,137585793.0,206043438.0,40.04
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,PropertyTax,2021-04-01T04:04:53.097,329504.0,2438054530.4,1049011490.9,1389043039.5,43.03
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,SUC Charges,2021-04-01T04:05:47.913,295457.0,103082723.0,61978911.7,41103811.3,60.13
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,UGD,2021-04-01T11:21:12.87,165863.0,931944247.0,235260962.0,696683285.0,25.24
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,VLTTax,2021-04-01T04:04:56.733,44485.0,465827480.0,55753401.0,410074079.0,11.97
2020-2021,Corporation,MADURAI ,MADURAI,MADURAI ,WaterSupply,2021-04-01T04:05:05.38,163418.0,305536928.0,129105177.0,176431751.0,42.26
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,NonTax,2021-04-01T04:05:13.13,836.0,94983426.0,50137048.0,44846378.0,52.79
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,ProfessionTax,2021-04-01T04:05:16.76,3726.0,43067016.0,31710197.0,11356819.0,73.63
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,PropertyTax,2021-04-01T04:04:53.097,86611.0,320310562.0,149779090.0,170531472.0,46.76
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,SUC Charges,2021-04-01T04:05:47.913,86333.0,31306287.0,19623930.0,11682357.0,62.68
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,VLTTax,2021-04-01T04:04:56.733,3549.0,17065512.0,9008801.0,8056711.0,52.79
